,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
435,Denmark,DNK,1/12/2021,119420.0,119420.0,0.0,460.0,7156.0,2.06,2.06,0.0,1235.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
436,Denmark,DNK,1/13/2021,132094.0,132094.0,0.0,12674.0,6108.0,2.28,2.28,0.0,1055.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
437,Denmark,DNK,1/14/2021,149970.0,149970.0,0.0,17876.0,6139.0,2.59,2.59,0.0,1060.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
438,Denmark,DNK,1/15/2021,165126.0,165121.0,5.0,15156.0,7077.0,2.85,2.85,0.0,1222.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
439,Denmark,DNK,1/16/2021,169760.0,169748.0,12.0,4634.0,7467.0,2.93,2.93,0.0,1289.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
440,Denmark,DNK,1/17/2021,173023.0,172285.0,738.0,3263.0,7817.0,2.99,2.97,0.01,1350.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
441,Denmark,DNK,1/18/2021,179055.0,176158.0,2897.0,6032.0,8585.0,3.09,3.04,0.05,1482.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
442,Denmark,DNK,1/19/2021,183674.0,178650.0,5024.0,4619.0,9179.0,3.17,3.08,0.09,1585.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
443,Denmark,DNK,1/20/2021,187105.0,180167.0,6938.0,3431.0,7859.0,3.23,3.11,0.12,1357.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
444,Denmark,DNK,1/21/2021,190982.0,181690.0,9292.0,3877.0,5859.0,3.3,3.14,0.16,1012.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
445,Denmark,DNK,1/22/2021,197356.0,182351.0,15005.0,6374.0,4604.0,3.41,3.15,0.26,795.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
446,Denmark,DNK,1/23/2021,205266.0,183128.0,22138.0,7910.0,5072.0,3.54,3.16,0.38,876.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
447,Denmark,DNK,1/24/2021,212421.0,183735.0,28686.0,7155.0,5628.0,3.67,3.17,0.5,972.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
448,Denmark,DNK,1/25/2021,215144.0,183985.0,31159.0,2723.0,5156.0,3.71,3.18,0.54,890.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
449,Denmark,DNK,1/26/2021,217088.0,184199.0,32889.0,1944.0,4773.0,3.75,3.18,0.57,824.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
450,Denmark,DNK,1/27/2021,221707.0,184415.0,37292.0,4619.0,4943.0,3.83,3.18,0.64,853.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
451,Denmark,DNK,1/28/2021,229784.0,184670.0,45114.0,8077.0,5543.0,3.97,3.19,0.78,957.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
452,Denmark,DNK,1/29/2021,247244.0,185700.0,61544.0,17460.0,7127.0,4.27,3.21,1.06,1230.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
453,Denmark,DNK,1/30/2021,258978.0,186759.0,72219.0,11734.0,7673.0,4.47,3.22,1.25,1325.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
454,Denmark,DNK,1/31/2021,258998.0,186762.0,72236.0,20.0,6654.0,4.47,3.22,1.25,1149.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
455,Ecuador,ECU,1/21/2021,0.0,-109015.06302521005,0.0,0.0,0.0,0.0,-0.4020693277310956,0.0,0.0,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
456,Ecuador,ECU,1/22/2021,108.0,-108907.06302521005,0.0,108.0,108.0,0.0,-0.4020693277310956,0.0,6.0,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
462,Ecuador,ECU,1/28/2021,2982.0,-106033.06302521005,0.0,0.0,426.0,0.02,-0.3820693277310956,0.0,24.0,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
463,England,GB-ENG,12/20/2020,570199.0,570199.0,0.0,0.0,0.0,1.01,1.01,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
470,England,GB-ENG,12/27/2020,835475.0,835475.0,0.0,0.0,37897.0,1.48,1.48,0.0,673.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
477,England,GB-ENG,1/3/2021,1182209.0,1161742.0,20467.0,0.0,49533.0,2.1,2.06,0.04,880.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
484,England,GB-ENG,1/10/2021,2333764.0,1959151.0,374613.0,0.0,164508.0,4.15,3.48,0.67,2923.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
485,England,GB-ENG,1/11/2021,2474205.0,2080280.0,393925.0,140441.0,161070.0,4.4,3.7,0.7,2862.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
486,England,GB-ENG,1/12/2021,2661850.0,2254556.0,407294.0,187645.0,164375.0,4.73,4.01,0.72,2920.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
487,England,GB-ENG,1/13/2021,2910027.0,2494371.0,415656.0,248177.0,176328.0,5.17,4.43,0.74,3133.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
488,England,GB-ENG,1/14/2021,3189674.0,2769164.0,420510.0,279647.0,192776.0,5.67,4.92,0.75,3425.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
489,England,GB-ENG,1/15/2021,3514385.0,3090058.0,424327.0,324711.0,215662.0,6.24,5.49,0.75,3831.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
490,England,GB-ENG,1/16/2021,3791594.0,3365492.0,426102.0,277209.0,231763.0,6.74,5.98,0.76,4118.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
491,England,GB-ENG,1/17/2021,3947442.0,3520056.0,427386.0,155848.0,230525.0,7.01,6.25,0.76,4096.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
492,England,GB-ENG,1/18/2021,4118342.0,3687206.0,431136.0,170900.0,234877.0,7.32,6.55,0.77,4173.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
493,England,GB-ENG,1/19/2021,4419704.0,3985579.0,434125.0,301362.0,251122.0,7.85,7.08,0.77,4461.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
494,England,GB-ENG,1/20/2021,4740578.0,4303730.0,436848.0,320874.0,261507.0,8.42,7.65,0.78,4646.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
495,England,GB-ENG,1/21/2021,5100475.0,4661293.0,439182.0,359897.0,272972.0,9.06,8.28,0.78,4850.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
496,England,GB-ENG,1/22/2021,5526071.0,5085771.0,440300.0,425596.0,287384.0,9.82,9.04,0.78,5106.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
497,England,GB-ENG,1/23/2021,5970175.0,5529101.0,441074.0,444104.0,311226.0,10.61,9.82,0.78,5529.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
498,England,GB-ENG,1/24/2021,6169377.0,5727693.0,441684.0,199202.0,317419.0,10.96,10.18,0.78,5639.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
499,England,GB-ENG,1/25/2021,6405554.0,5962544.0,443010.0,236177.0,326745.0,11.38,10.59,0.79,5805.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
500,England,GB-ENG,1/26/2021,6665861.0,6221850.0,444011.0,260307.0,320880.0,11.84,11.05,0.79,5701.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
501,England,GB-ENG,1/27/2021,6918853.0,6473752.0,445101.0,252992.0,311182.0,12.29,11.5,0.79,5528.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
502,England,GB-ENG,1/28/2021,7263317.0,6816945.0,446372.0,344464.0,308977.0,12.9,12.11,0.79,5489.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
503,England,GB-ENG,1/29/2021,7701203.0,7253305.0,447898.0,437886.0,310733.0,13.68,12.89,0.8,5521.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
504,England,GB-ENG,1/30/2021,8251146.0,7792996.0,458150.0,549943.0,325853.0,14.66,13.85,0.81,5789.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
505,Estonia,EST,12/28/2020,207.0,-108808.06302521005,0.0,0.0,0.0,0.02,-0.3820693277310956,0.0,0.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
506,Estonia,EST,12/29/2020,516.0,-108499.06302521005,0.0,309.0,309.0,0.04,-0.3620693277310956,0.0,233.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
507,Estonia,EST,12/30/2020,884.0,-108131.06302521005,0.0,368.0,338.0,0.07,-0.3320693277310956,0.0,255.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
508,Estonia,EST,12/31/2020,1907.0,-107108.06302521005,0.0,1023.0,567.0,0.14,-0.2620693277310956,0.0,427.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
509,Estonia,EST,1/1/2021,2487.0,-106528.06302521005,0.0,580.0,570.0,0.19,-0.2120693277310956,0.0,430.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
511,Estonia,EST,1/3/2021,2517.0,-106498.06302521005,0.0,0.0,385.0,0.19,-0.2120693277310956,0.0,290.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
512,Estonia,EST,1/4/2021,2535.0,-106480.06302521005,0.0,18.0,333.0,0.19,-0.2120693277310956,0.0,251.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
513,Estonia,EST,1/5/2021,3188.0,-105827.06302521005,0.0,653.0,382.0,0.24,-0.1620693277310956,0.0,288.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
514,Estonia,EST,1/6/2021,5009.0,-104006.06302521005,0.0,1821.0,589.0,0.38,-0.0220693277310956,0.0,444.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
515,Estonia,EST,1/7/2021,6632.0,-102383.06302521005,0.0,1623.0,675.0,0.5,0.0979306722689044,0.0,509.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
516,Estonia,EST,1/8/2021,7973.0,-101042.06302521005,0.0,1341.0,784.0,0.6,0.19793067226890437,0.0,591.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
517,Estonia,EST,1/9/2021,10197.0,-98818.06302521005,0.0,2224.0,1099.0,0.77,0.3679306722689044,0.0,828.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
518,Estonia,EST,1/10/2021,10749.0,-98266.06302521005,0.0,552.0,1176.0,0.81,0.40793067226890445,0.0,887.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
519,Estonia,EST,1/11/2021,10972.0,-98043.06302521005,0.0,223.0,1205.0,0.83,0.42793067226890436,0.0,908.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
520,Estonia,EST,1/12/2021,11896.0,-97119.06302521005,0.0,924.0,1244.0,0.9,0.4979306722689044,0.0,938.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
521,Estonia,EST,1/13/2021,13481.0,-95534.06302521005,0.0,1585.0,1210.0,1.02,0.6179306722689044,0.0,912.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
522,Estonia,EST,1/14/2021,14879.0,-94136.06302521005,0.0,1398.0,1178.0,1.12,0.7179306722689045,0.0,888.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
523,Estonia,EST,1/15/2021,16677.0,-92338.06302521005,0.0,1798.0,1243.0,1.26,0.8579306722689044,0.0,937.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
524,Estonia,EST,1/16/2021,17959.0,-91056.06302521005,0.0,1282.0,1109.0,1.35,0.9479306722689045,0.0,836.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
525,Estonia,EST,1/17/2021,18179.0,-90836.06302521005,0.0,220.0,1061.0,1.37,0.9679306722689045,0.0,800.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
526,Estonia,EST,1/18/2021,18275.0,-90740.06302521005,0.0,96.0,1043.0,1.38,0.9779306722689043,0.0,786.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
527,Estonia,EST,1/19/2021,19315.0,-89700.06302521005,0.0,1040.0,1060.0,1.46,1.0579306722689044,0.0,799.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
528,Estonia,EST,1/20/2021,20478.0,-88537.06302521005,0.0,1163.0,1000.0,1.54,1.1379306722689044,0.0,754.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
529,Estonia,EST,1/21/2021,21985.0,-87030.06302521005,0.0,1507.0,1015.0,1.66,1.2579306722689043,0.0,765.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
530,Estonia,EST,1/22/2021,24196.0,-84819.06302521005,0.0,2211.0,1074.0,1.82,1.4179306722689045,0.0,810.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
531,Estonia,EST,1/23/2021,25704.0,-83311.06302521005,0.0,1508.0,1106.0,1.94,1.5379306722689043,0.0,834.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
532,Estonia,EST,1/24/2021,25964.0,-83051.06302521005,0.0,260.0,1112.0,1.96,1.5579306722689044,0.0,838.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
533,Estonia,EST,1/25/2021,26126.0,-82889.06302521005,0.0,162.0,1122.0,1.97,1.5679306722689044,0.0,846.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
534,Estonia,EST,1/26/2021,27180.0,-81835.06302521005,0.0,1054.0,1124.0,2.05,1.6479306722689042,0.0,847.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
535,Estonia,EST,1/27/2021,29594.0,-79421.06302521005,0.0,2414.0,1302.0,2.23,1.8279306722689044,0.0,982.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
536,Estonia,EST,1/28/2021,31629.0,25415.0,6214.0,2035.0,1378.0,2.38,1.92,0.47,1039.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
537,Estonia,EST,1/29/2021,34019.0,26412.0,7607.0,2390.0,1403.0,2.56,1.99,0.57,1058.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
538,Estonia,EST,1/30/2021,37230.0,27633.0,9597.0,3211.0,1647.0,2.81,2.08,0.72,1242.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
539,Estonia,EST,1/31/2021,38055.0,27900.0,10155.0,825.0,1727.0,2.87,2.1,0.77,1302.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
540,Finland,FIN,12/31/2020,1767.0,-107248.06302521005,0.0,0.0,0.0,0.03,-0.3720693277310956,0.0,0.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
544,Finland,FIN,1/4/2021,3604.0,-105411.06302521005,0.0,0.0,459.0,0.07,-0.3320693277310956,0.0,83.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
545,Finland,FIN,1/5/2021,5445.0,-103570.06302521005,0.0,1841.0,736.0,0.1,-0.3020693277310956,0.0,133.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
547,Finland,FIN,1/7/2021,8155.0,-100860.06302521005,0.0,0.0,913.0,0.15,-0.2520693277310956,0.0,165.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
548,Finland,FIN,1/8/2021,11135.0,-97880.06302521005,0.0,2980.0,1273.0,0.2,-0.2020693277310956,0.0,230.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
551,Finland,FIN,1/11/2021,14196.0,-94819.06302521005,0.0,0.0,1513.0,0.26,-0.1420693277310956,0.0,273.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
552,Finland,FIN,1/12/2021,17617.0,-91398.06302521005,0.0,3421.0,1739.0,0.32,-0.0820693277310956,0.0,314.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
553,Finland,FIN,1/13/2021,23126.0,-85889.06302521005,0.0,5509.0,2332.0,0.42,0.01793067226890438,0.0,421.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
554,Finland,FIN,1/14/2021,33033.0,-75982.06302521005,0.0,9907.0,3554.0,0.6,0.19793067226890437,0.0,641.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
555,Finland,FIN,1/15/2021,43143.0,-65872.06302521005,0.0,10110.0,4573.0,0.78,0.3779306722689044,0.0,825.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
558,Finland,FIN,1/18/2021,54568.0,-54447.06302521005,0.0,0.0,5767.0,0.98,0.5779306722689044,0.0,1041.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
559,Finland,FIN,1/19/2021,55824.0,-53191.06302521005,0.0,1256.0,5458.0,1.01,0.6079306722689044,0.0,985.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
560,Finland,FIN,1/20/2021,62061.0,-46954.06302521005,0.0,6237.0,5562.0,1.12,0.7179306722689045,0.0,1004.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
561,Finland,FIN,1/21/2021,78300.0,-30715.063025210053,0.0,16239.0,6467.0,1.41,1.0079306722689043,0.0,1167.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
562,Finland,FIN,1/22/2021,91260.0,-17755.063025210053,0.0,12960.0,6874.0,1.65,1.2479306722689043,0.0,1241.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
565,Finland,FIN,1/25/2021,110651.0,106098.0,4553.0,0.0,8012.0,2.0,1.91,0.08,1446.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
566,Finland,FIN,1/26/2021,117007.0,110047.0,6960.0,6356.0,8740.0,2.11,1.99,0.13,1577.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
567,Finland,FIN,1/27/2021,126910.0,117555.0,9355.0,9903.0,9264.0,2.29,2.12,0.17,1672.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
568,Finland,FIN,1/28/2021,138323.0,127783.0,10540.0,11413.0,8575.0,2.5,2.31,0.19,1548.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
569,Finland,FIN,1/29/2021,151790.0,137551.0,14239.0,13467.0,8647.0,2.74,2.48,0.26,1561.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
570,Finland,FIN,1/30/2021,162277.0,144520.0,17757.0,10487.0,9222.0,2.93,2.61,0.32,1664.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
571,France,FRA,12/27/2020,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
572,France,FRA,12/28/2020,52.0,52.0,0.0,39.0,39.0,0.0,0.0,0.0,1.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
573,France,FRA,12/29/2020,138.0,138.0,0.0,86.0,62.0,0.0,0.0,0.0,1.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
